002241 歌尔股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/07/22	17.18	17.95	17.03	17.87	9075535	324764896.00
2013/07/23	18.13	18.38	18.03	18.29	10305507	380713856.00
2013/07/24	18.33	18.97	18.28	18.43	12785450	479650048.00
2013/07/25	18.77	18.97	17.72	18.06	12624942	467943072.00
2013/07/26	17.78	18.13	17.37	17.68	7509144	269964864.00
2013/07/29	17.53	18.24	17.28	17.65	7420079	267374832.00
2013/07/30	17.97	17.97	17.13	17.28	9034593	318494624.00
2013/07/31	17.39	17.88	17.08	17.22	9772116	346673408.00
2013/08/01	17.38	17.97	17.28	17.97	10317472	369009632.00
2013/08/02	18.18	19.30	18.18	18.62	21851069	830940544.00
2013/08/05	18.64	19.30	18.63	19.05	14585135	563573504.00
2013/08/06	19.08	19.78	18.67	19.60	14201865	558641216.00
2013/08/07	19.68	19.93	19.08	19.16	10112544	398176864.00
2013/08/08	19.13	21.10	18.93	21.10	25228294	1045054976.00
2013/08/09	21.31	21.45	20.59	21.28	17639384	753094592.00
2013/08/12	21.28	21.39	20.06	20.81	14739579	618487104.00
2013/08/13	20.79	22.39	19.87	22.05	19540065	829398720.00
2013/08/14	21.83	22.05	21.28	21.52	11960612	524891584.00
2013/08/15	21.48	22.38	20.93	20.98	11194115	487462688.00
2013/08/16	20.78	21.78	20.25	20.43	18718940	787870528.00
2013/08/19	20.18	20.92	20.16	20.56	12260780	510283648.00
2013/08/20	20.54	20.94	20.18	20.33	10610138	441046816.00
2013/08/21	20.53	20.73	19.75	20.73	10206700	418430912.00
2013/08/22	20.60	21.60	20.38	21.33	14945364	644528064.00
2013/08/23	21.32	22.15	21.13	21.62	14155512	620510144.00
2013/08/26	21.63	22.49	21.38	22.03	11560429	518236288.00
2013/08/27	21.93	22.30	21.28	21.60	9658462	421206880.00
2013/08/28	21.38	21.77	21.24	21.39	6752737	293546400.00
2013/08/29	21.42	21.77	20.88	20.98	7839036	336836576.00
2013/08/30	20.80	21.29	20.04	20.28	8213206	341280064.00
2013/09/02	20.28	21.01	20.27	21.01	5117010	214922336.00
2013/09/03	21.08	21.63	21.02	21.47	5238098	226649456.00
2013/09/04	21.49	21.90	20.97	21.03	6789273	292736192.00
2013/09/05	20.96	21.38	20.62	20.88	6235543	264209184.00
2013/09/06	20.93	21.08	20.64	20.75	4896701	205527360.00
2013/09/09	20.75	21.03	20.22	21.03	9837293	408131840.00
2013/09/10	20.91	20.93	19.87	20.43	15852845	650878464.00
2013/09/11	18.68	18.98	18.37	18.37	32914479	1229995136.00
2013/09/12	17.91	18.61	17.73	17.94	23387441	853216448.00
2013/09/13	18.28	19.04	18.28	18.78	18831422	714722496.00
2013/09/16	18.77	19.57	18.48	19.48	13113549	509123680.00
2013/09/17	19.27	19.88	19.01	19.19	8646528	339924672.00
2013/09/18	19.35	19.35	18.17	18.84	20466099	769810176.00
2013/09/23	18.92	20.10	18.92	20.02	18219866	728743744.00
2013/09/24	20.55	21.23	20.55	20.67	14243656	599701824.00
2013/09/25	20.63	21.37	20.23	20.88	14481364	614108096.00
2013/09/26	20.73	21.16	20.65	20.67	6180288	260199408.00
2013/09/27	20.67	21.09	20.33	20.51	5844162	244069760.00
2013/09/30	20.50	21.13	20.46	20.92	5669642	239992256.00
2013/10/08	20.75	20.92	19.73	20.33	10552638	429278784.00
2013/10/09	20.27	20.27	19.22	19.63	16056828	632492288.00
2013/10/10	19.63	19.64	18.76	19.47	19570781	756765312.00
2013/10/11	19.42	19.98	18.77	19.10	18295833	712238016.00
2013/10/14	19.08	19.46	18.94	19.27	8633607	335989280.00
2013/10/15	18.96	19.27	18.77	18.87	10498035	402551040.00
2013/10/16	18.87	19.22	18.68	18.93	9769010	374344160.00
2013/10/17	19.06	19.47	18.94	19.30	7447228	289009600.00
2013/10/18	19.32	19.32	18.78	18.87	6485295	248403632.00
2013/10/21	18.88	19.43	18.87	19.37	8485244	329306112.00
2013/10/22	19.26	19.56	18.98	19.19	9225346	358280192.00
2013/10/23	19.38	19.53	18.83	19.21	6296836	244080464.00
2013/10/24	19.18	19.31	18.83	18.85	4272408	164349024.00
2013/10/25	18.82	18.82	17.26	17.98	17365345	626953920.00
2013/10/28	17.91	18.58	17.78	18.23	7211697	267755984.00
2013/10/29	18.13	18.39	17.34	18.25	5802839	210855680.00
2013/10/30	18.08	18.35	17.93	18.05	5084054	187086656.00
2013/10/31	17.99	18.02	17.14	17.22	9469087	333243552.00
2013/11/01	17.36	17.85	17.02	17.69	6229211	219918128.00
2013/11/04	17.76	18.21	17.75	17.96	4802206	174777328.00
2013/11/05	17.78	18.01	17.55	17.79	6420872	230755408.00
2013/11/06	17.82	17.95	17.38	17.45	5153546	184368464.00
2013/11/07	17.52	17.58	16.63	16.79	9488964	324147360.00
2013/11/08	16.64	16.94	16.00	16.68	13274798	441724320.00
2013/11/11	16.53	17.69	16.53	17.51	7893742	276067392.00
2013/11/12	17.40	17.75	17.38	17.54	4297425	152803648.00
2013/11/13	17.28	17.75	17.22	17.22	4638285	164277744.00
2013/11/14	17.57	17.86	17.13	17.79	7855295	278912512.00
2013/11/15	17.79	18.22	17.65	17.81	6633819	242082704.00
2013/11/18	17.83	18.67	17.83	18.48	8366052	312173696.00
2013/11/19	18.48	18.98	18.33	18.45	9117829	343714400.00
2013/11/20	18.78	18.81	18.03	18.43	6515598	240604832.00
2013/11/21	18.28	18.33	17.95	18.24	3942578	144456800.00
2013/11/22	18.29	18.33	17.76	17.78	3665158	132957984.00
2013/11/25	17.58	18.19	17.58	17.97	4389450	160171536.00
2013/11/26	18.03	18.32	17.48	18.28	6198429	225599456.00
2013/11/27	18.18	19.68	18.18	19.53	19897229	770338048.00
2013/11/28	19.53	19.83	19.14	19.37	12590658	496758976.00
2013/11/29	19.20	19.36	18.81	19.09	9518153	366654848.00
2013/12/02	18.53	19.00	18.33	18.48	9556778	360244192.00
2013/12/03	18.58	18.62	18.02	18.48	6484066	241229056.00
2013/12/04	18.48	19.15	18.33	18.74	8079599	307229888.00
2013/12/05	18.77	18.88	18.08	18.13	7471758	277889088.00
2013/12/06	18.13	18.43	17.79	17.87	6314333	230422656.00
2013/12/09	18.03	18.20	17.65	17.89	5272824	190758112.00
2013/12/10	18.03	18.16	17.83	18.00	4669776	170245552.00
2013/12/11	17.77	18.05	17.68	17.89	5303351	191267424.00
2013/12/12	17.86	18.26	17.78	18.18	5211216	190389776.00
2013/12/13	17.78	18.32	17.77	17.97	5460831	199660416.00
2013/12/16	18.10	18.10	17.69	17.82	4189779	151856000.00
